[INFO] 2025-04-20T20:16:12.978Z FILE_METRICS_START RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 S3Key: subtree	 Provider: aws_lambda	 StartTime: 80.233679129 ms	 ExecutionTag: file_metrics_tag_1745180172977
[INFO] 2025-04-20T20:16:21.304Z FILE_TRANSFER RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1033_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1033_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 119.69220200001018 ms
[INFO] 2025-04-20T20:16:21.404Z FILE_TRANSFER RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1033_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1033_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 99.84068100000343 ms
[INFO] 2025-04-20T20:16:21.545Z FILE_TRANSFER RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1033_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1033_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 249 bytes	 TransferDuration: 140.96915400000398 ms
[INFO] 2025-04-20T20:16:21.664Z FILE_TRANSFER RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1033_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1033_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 118.613265999997 ms
[INFO] 2025-04-20T20:16:21.784Z FILE_TRANSFER RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1034_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1034_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 119.80371699999637 ms
[INFO] 2025-04-20T20:16:21.884Z FILE_TRANSFER RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1034_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1034_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 99.712652000008 ms
[INFO] 2025-04-20T20:16:21.984Z FILE_TRANSFER RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1034_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1034_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 245 bytes	 TransferDuration: 99.77741800000217 ms
[INFO] 2025-04-20T20:16:22.104Z FILE_TRANSFER RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1034_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1034_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 399 bytes	 TransferDuration: 119.7657249999935 ms
[INFO] 2025-04-20T20:16:22.224Z FILE_TRANSFER RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1038_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1038_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 119.69653500000277 ms
[INFO] 2025-04-20T20:16:22.324Z FILE_TRANSFER RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1038_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1038_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 99.83660199999633 ms
[INFO] 2025-04-20T20:16:22.444Z FILE_TRANSFER RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1038_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1038_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 243 bytes	 TransferDuration: 119.65927899998974 ms
